disease_name,description,Possible Steps,image_url
Aloevera,"Aloe Vera is a versatile medicinal plant known for its soothing, moisturizing, and healing properties. It boosts immunity and aids digestion, and helps reduce inflammation and skin irritations.","Consume Aloe Vera juice daily or apply the gel directly on skin wounds and burns for relief and faster healing.","https://m.media-amazon.com/images/I/81XWpVvk5AL.jpg"
Amla,"Amla, or Indian gooseberry, is rich in vitamin C and antioxidants. It helps improve immunity, promotes heart health, and supports digestion.","Consume fresh amla, amla powder, or juice regularly to gain its health benefits.","https://media.istockphoto.com/id/637254836/photo/indian-gooseberry-ayurvedic-fruits.jpg?s=612x612&w=0&k=20&c=trx04nuZ-sz3dnKCWOWOc-uvC9kkRn0tUGsReYAy6ak="
Amruta_Balli,"Amruta Balli (Giloy) is famous for its detoxifying and immune-boosting effects. It helps fight infections and reduces inflammation.","Prepare Giloy tea or use Giloy powder as a natural remedy to boost immunity and treat fever.","https://nurserynisarga.in/wp-content/uploads/2019/09/giloy-plant.webp"
Aralia,"Aralia is a medicinal herb used in traditional medicine to improve energy levels and strengthen the immune system. It also aids in respiratory health.","Use Aralia leaves in herbal teas or supplements as prescribed by a practitioner.","https://cdn.pixabay.com/photo/2017/03/04/22/07/plant-2114282_1280.jpg"
Ashoka,"Ashoka is renowned for its use in women's health, particularly in regulating menstrual cycles and treating uterine disorders.","Consume Ashoka bark extracts or supplements under guidance for reproductive health support.","https://upload.wikimedia.org/wikipedia/commons/3/38/Saraca_asoca_-_Ashoka_tree.jpg"
Ashwagandha,"Ashwagandha is an adaptogenic herb known for reducing stress, improving stamina, and boosting immunity. It supports brain health and reduces inflammation.","Take Ashwagandha powder or capsules daily to combat stress and fatigue.","https://upload.wikimedia.org/wikipedia/commons/8/8e/Ashwagandha_plant_in_field.jpg"
Avacado,"Avocado leaves and fruit contain antioxidants and anti-inflammatory compounds that support heart and skin health.","Consume ripe avocado fruit regularly; avocado leaf tea may aid digestion.","https://upload.wikimedia.org/wikipedia/commons/5/56/Avocado_on_tree.JPG"
Bamboo,"Bamboo shoots are rich in fiber and nutrients; bamboo leaves have antioxidant and antimicrobial properties.","Use bamboo shoots in cooking; bamboo leaf extracts can be used as natural remedies.","https://images.unsplash.com/photo-1532920161727-344adb090f7f?fm=jpg&q=60&w=3000&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8YmFtYm9vfGVufDB8fDB8fHww"
Basale,"Basale is a leafy herb traditionally used to aid digestion and improve appetite.","Prepare fresh Basale leaf juice or use in cooking for health benefits.","https://m.media-amazon.com/images/I/71bZ5jciglL._AC_UF1000,1000_QL80_.jpg"
Betel,"Betel leaves have antimicrobial and digestive properties; traditionally used for oral health and digestion.","Chew fresh betel leaves or prepare betel leaf tea.","https://upload.wikimedia.org/wikipedia/commons/4/44/Piper_betel_in_Kerala.JPG"
Betel Nut,"Betel nut is known for its stimulant properties but should be consumed cautiously due to potential risks.","Traditionally chewed with betel leaf; use moderately.","https://t4.ftcdn.net/jpg/04/88/92/25/360_F_488922596_2rZ6YfUFYYs5TdhfXLdIanRgPHPBwboM.jpg"
Brahmi,"Brahmi enhances memory and concentration and is widely used to relieve anxiety and stress.","Consume Brahmi tea or supplements daily for cognitive support.","https://upload.wikimedia.org/wikipedia/commons/7/7a/Bacopa_monnieri.jpg"
Castor,"Castor oil is known for its anti-inflammatory and laxative properties; the plant is used medicinally in many cultures.","Use castor oil topically or as recommended for digestive issues.","https://upload.wikimedia.org/wikipedia/commons/0/04/Castor_beans_-_Ricinus_communis.jpg"
Curry_Leaf,"Curry leaves are rich in antioxidants and help regulate blood sugar and improve digestion.","Use fresh curry leaves in cooking or prepare curry leaf tea.","https://upload.wikimedia.org/wikipedia/commons/f/f6/Murraya_koenigii_Leaves.jpg"
Doddapatre,"Doddapatre is traditionally used to reduce fever and promote skin healing.","Prepare fresh leaf juice or paste and apply as needed.","https://example.com/images/doddapatre.jpg"
Ekka,"Ekka is a medicinal plant used locally for its anti-inflammatory properties.","Use Ekka leaf extracts under guidance.","https://example.com/images/ekka.jpg"
Ganike,"Ganike leaves are used to treat digestive issues and enhance appetite.","Use fresh Ganike leaves in herbal preparations.","https://example.com/images/ganike.jpg"
Guava,"Guava leaves have antimicrobial and anti-inflammatory effects and aid in digestion.","Drink guava leaf tea regularly for gastrointestinal health.","https://images.unsplash.com/photo-1633349202776-39545fa23de7?fm=jpg&q=60&w=3000&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Z3VhdmElMjB0cmVlfGVufDB8fDB8fHww"
Geranium,"Geranium has antibacterial properties and is used in skincare and aromatherapy.","Use geranium essential oil or plant extracts topically.","https://upload.wikimedia.org/wikipedia/commons/f/f7/Geranium_plant.jpg"
Henna,"Henna is used for its cooling effects and to treat skin conditions.","Apply henna paste to skin or hair for therapeutic and cosmetic benefits.","https://upload.wikimedia.org/wikipedia/commons/e/e0/Lawsonia_inermis_01.JPG"
Hibiscus,"Hibiscus flowers and leaves have antioxidant properties and support cardiovascular health.","Drink hibiscus tea daily or use extracts for skin health.","https://upload.wikimedia.org/wikipedia/commons/9/92/Hibiscus_rosasinensis_Rodriguez.JPG"
Honge,"Honge (Pongamia) seeds and leaves have medicinal uses including anti-inflammatory and wound healing.","Use Honge oil externally for skin ailments; leaves for medicinal teas.","https://upload.wikimedia.org/wikipedia/commons/f/f7/Pongamia_pinnata_plant.jpg"
Insulin,"Insulin is a hormone, not a plant, and is used medically to regulate blood sugar.","Consult healthcare provider for insulin therapy.","https://example.com/images/placeholder.jpg"
Jasmine,"Jasmine flowers are used for relaxation and to reduce anxiety.","Use jasmine essential oil or flower teas for calming effects.","https://cdn.mos.cms.futurecdn.net/iNamfrqmhBNHZnuQJZWKPH.jpg"
Lemon,"Lemon is rich in vitamin C and antioxidants; supports immunity and digestion.","Use lemon juice daily; lemon peel powder for detoxification.","https://plantskingdom.in/cdn/shop/products/img_1558.jpg?v=1657427000&width=1445"
Lemon_grass,"Lemongrass aids digestion and has antimicrobial properties.","Brew lemongrass tea or use in cooking for health benefits.","https://nurserylive.com/cdn/shop/products/nurserylive-g-lemon-grass-plant.jpg?v=1634227097"
Mango,"Mango leaves and fruit contain antioxidants and vitamins beneficial for immunity.","Use mango leaf extract and eat fresh mangoes seasonally.","https://exoticflora.in/cdn/shop/products/exoticflorapalmermango1.jpg?v=1626868551"
Mint,"Mint is widely used to relieve indigestion, headaches, and nausea.","Use fresh mint leaves in teas or cooking for digestive relief.","https://bonnieplants.com/cdn/shop/articles/BONNIE_mint_iStock-543204012-1800px_4f952d52-ceef-4716-b9ba-063af39b87d7.jpg?v=1642541970"
Nagadali,"Nagadali is used traditionally for respiratory and digestive health.","Use Nagadali leaf juice or decoctions under guidance.","https://images-eu.ssl-images-amazon.com/images/I/51j1L2lLd5L.AC_UL600_SR600,600.jpg"
Neem,"Neem is known for its powerful antimicrobial, anti-inflammatory, and skin healing properties.","Use neem leaf paste or neem oil for skin and dental care.","https://ariesagro.com/wp-content/uploads/2022/11/neem.jpg"
Nithyapushpa,"Nithyapushpa is traditionally used for anti-inflammatory and blood-purifying effects.","Use flower extracts or powders in herbal remedies.","https://example.com/images/nithyapushpa.jpg"
Nooni,"Nooni is used for respiratory and digestive system support.","Use Nooni leaf juice or powder for medicinal purposes.","https://example.com/images/nooni.jpg"
Pappaya,"Papaya contains digestive enzymes; leaves and fruit are used for digestion and skin health.","Eat ripe papaya fruit; use leaf juice for wound healing.","https://upload.wikimedia.org/wikipedia/commons/4/4f/Papaya_fruit_and_leaves.JPG"
Pepper,"Pepper has antioxidant and digestion-stimulating properties.","Use black pepper in cooking or supplements to improve digestion.","https://upload.wikimedia.org/wikipedia/commons/c/cd/Peppercorns_-_black_and_white.jpg"
Pomegranate,"Pomegranate is rich in antioxidants and supports heart health.","Consume fresh fruit or juice daily for cardiovascular benefits.","https://upload.wikimedia.org/wikipedia/commons/3/32/Pomegranate_fruit_-_whole_and_halved.jpg"
Raktachandini,"Raktachandini is used in traditional medicine for blood purification and skin ailments.","Use extracts or powders in herbal treatments.","https://example.com/images/raktachandini.jpg"
Rose,"Rose petals have antioxidant and anti-inflammatory properties.","Use rose water or petal extracts for skin and relaxation benefits.","https://upload.wikimedia.org/wikipedia/commons/4/40/Rose_Red_Flower.JPG"
Sapota,"Sapota (chikoo) fruit is nutritious and supports digestion and immunity.","Eat fresh sapota fruit regularly for health benefits.","https://upload.wikimedia.org/wikipedia/commons/e/e6/Sapodilla.jpg"
Tulasi,"Tulasi (holy basil) boosts immunity and is used to treat respiratory conditions and stress.","Brew Tulasi tea daily or use leaves in remedies.","https://upload.wikimedia.org/wikipedia/commons/9/99/Ocimum_tenuiflorum_%28Holy_Basil%29.jpg"
Wood_sorel,"Wood sorrel is used for digestive and diuretic purposes traditionally.","Use fresh leaves in teas or salads.","https://upload.wikimedia.org/wikipedia/commons/f/f3/Wood_sorrel_%28Oxalis_violacea%29.jpg"
